=== JOB 1: thymio sensor, 10 agents ===
Fr 4. Sep 21:02:03 CEST 2026
🚀 stages=['follow_gradient_no_gate', 'gate_passing'], sensor_mode=thymio, popsize=30, maxiter=100, n_agents=10, n_repeats=3, workers=22

======================================================================
🧬 STAGE: follow_gradient_no_gate  ({'sensor_mode': 'thymio', 'n_agents': 10, 'n_repeats': 3, 'max_battery': None, 'min_battery': None, 'nx': None, 'ny': None, 'use_battery_sensor': True, 'wind_enabled': False, 'gradient_map_path': None, 'freq_choices': (2.0, 4.0, 6.0), 'gate_enabled': False, 'finish_x_choices': (-2.5, -3.5, -4.5), 'gate_opening_width': 1.0})
======================================================================
(15_w,30)-aCMA-ES (mu_w=8.6,w_1=20%) in dimension 880 (seed=637153, Fri Sep  4 21:02:04 2026)
✅ Gen 001/100 | Best Loss (neg eff): -35.4550 | 9.8s
✅ Gen 002/100 | Best Loss (neg eff): -42.0883 | 20.2s
✅ Gen 003/100 | Best Loss (neg eff): -41.3285 | 17.0s
✅ Gen 004/100 | Best Loss (neg eff): -57.5079 | 12.0s
✅ Gen 005/100 | Best Loss (neg eff): -101.0902 | 15.2s
✅ Gen 006/100 | Best Loss (neg eff): -119.7971 | 15.4s
✅ Gen 007/100 | Best Loss (neg eff): -123.5222 | 12.5s
✅ Gen 008/100 | Best Loss (neg eff): -164.1174 | 16.6s
✅ Gen 009/100 | Best Loss (neg eff): -170.7178 | 13.1s
✅ Gen 010/100 | Best Loss (neg eff): -168.7515 | 10.7s
✅ Gen 011/100 | Best Loss (neg eff): -159.4006 | 16.0s
✅ Gen 012/100 | Best Loss (neg eff): -164.2997 | 11.9s
✅ Gen 013/100 | Best Loss (neg eff): -164.3525 | 13.1s
✅ Gen 014/100 | Best Loss (neg eff): -172.4451 | 14.2s
✅ Gen 015/100 | Best Loss (neg eff): -167.0809 | 10.6s
✅ Gen 016/100 | Best Loss (neg eff): -157.0694 | 16.7s
✅ Gen 017/100 | Best Loss (neg eff): -170.4675 | 13.4s
✅ Gen 018/100 | Best Loss (neg eff): -163.5872 | 10.5s
✅ Gen 019/100 | Best Loss (neg eff): -158.6281 | 14.7s
✅ Gen 020/100 | Best Loss (neg eff): -169.0362 | 11.4s
✅ Gen 021/100 | Best Loss (neg eff): -175.2144 | 13.3s
✅ Gen 022/100 | Best Loss (neg eff): -164.8618 | 15.0s
✅ Gen 023/100 | Best Loss (neg eff): -162.8578 | 10.1s
✅ Gen 024/100 | Best Loss (neg eff): -159.3279 | 11.1s
✅ Gen 025/100 | Best Loss (neg eff): -159.4902 | 15.5s
✅ Gen 026/100 | Best Loss (neg eff): -165.6371 | 10.8s
✅ Gen 027/100 | Best Loss (neg eff): -157.1320 | 10.1s
✅ Gen 028/100 | Best Loss (neg eff): -188.3172 | 15.7s
✅ Gen 029/100 | Best Loss (neg eff): -166.9374 | 10.8s
✅ Gen 030/100 | Best Loss (neg eff): -173.3872 | 9.8s
✅ Gen 031/100 | Best Loss (neg eff): -160.5413 | 15.7s
✅ Gen 032/100 | Best Loss (neg eff): -178.0132 | 10.4s
✅ Gen 033/100 | Best Loss (neg eff): -178.2883 | 11.5s
✅ Gen 034/100 | Best Loss (neg eff): -156.3112 | 13.4s
✅ Gen 035/100 | Best Loss (neg eff): -177.1771 | 10.0s
✅ Gen 036/100 | Best Loss (neg eff): -176.7770 | 16.6s
✅ Gen 037/100 | Best Loss (neg eff): -176.3906 | 11.0s
✅ Gen 038/100 | Best Loss (neg eff): -186.0272 | 9.6s
✅ Gen 039/100 | Best Loss (neg eff): -174.5260 | 14.2s
✅ Gen 040/100 | Best Loss (neg eff): -186.0444 | 14.2s
✅ Gen 041/100 | Best Loss (neg eff): -170.3759 | 10.4s
✅ Gen 042/100 | Best Loss (neg eff): -175.0043 | 10.9s
✅ Gen 043/100 | Best Loss (neg eff): -177.8104 | 12.7s
✅ Gen 044/100 | Best Loss (neg eff): -182.7608 | 15.8s
✅ Gen 045/100 | Best Loss (neg eff): -186.1945 | 9.9s
