=== RUN A: vision_gate (plain random), seeds 42 123 777 ===
So 6. Sep 18:16:45 CEST 2026
🚀 3-seed sweep: seeds=[42, 123, 777], stages=['vision_gate'], sensor_mode=vision, popsize=30, maxiter=100, n_agents=10, n_repeats=3, workers=15

######################################################################
### SEED 42 (1/3) -> hebbian_results_multiseed/vision_gate/seed_42/
######################################################################
↳ Seeding 'vision_gate' from existing genome 'hebbian_results_vision_v3/n10/hebbian_vision_flock_vision_best.npy' (instead of a fresh random one).

======================================================================
🧬 STAGE: vision_gate  ({'sensor_mode': 'vision', 'n_agents': 10, 'n_repeats': 3, 'max_battery': None, 'min_battery': None, 'nx': None, 'ny': None, 'use_battery_sensor': True, 'wind_enabled': False, 'gradient_map_path': None, 'freq_choices': (), 'gate_enabled': False, 'n_gates': 1, 'finish_x_choices': (), 'gate_opening_width': 1.0, 'post_gate_distance': 1.5, 'max_steps': 400})
======================================================================
(15_w,30)-aCMA-ES (mu_w=8.6,w_1=20%) in dimension 960 (seed=43, Sun Sep  6 18:16:46 2026)
✅ Gen 001/100 | Best Loss (neg eff): -2.1384 | elite best: -2.1384 | 17.1s
✅ Gen 002/100 | Best Loss (neg eff): -2.4017 | elite best: -2.4017 | 22.8s
✅ Gen 003/100 | Best Loss (neg eff): -2.4124 | elite best: -2.4124 | 21.7s
✅ Gen 004/100 | Best Loss (neg eff): -2.1130 | elite best: -2.1130 | 22.0s
✅ Gen 005/100 | Best Loss (neg eff): -58.3783 | elite best: -58.3783 | 22.1s
✅ Gen 006/100 | Best Loss (neg eff): -68.4073 | elite best: -68.4073 | 21.6s
✅ Gen 007/100 | Best Loss (neg eff): -66.6502 | elite best: -66.6502 | 20.6s
✅ Gen 008/100 | Best Loss (neg eff): -77.4839 | elite best: -77.4839 | 23.3s
✅ Gen 009/100 | Best Loss (neg eff): -71.5616 | elite best: -71.5616 | 20.4s
✅ Gen 010/100 | Best Loss (neg eff): -64.9468 | elite best: -64.9468 | 19.8s
✅ Gen 011/100 | Best Loss (neg eff): -64.7446 | elite best: -64.7446 | 21.3s
✅ Gen 012/100 | Best Loss (neg eff): -61.6616 | elite best: -61.6616 | 22.7s
✅ Gen 013/100 | Best Loss (neg eff): -57.3661 | elite best: -57.3661 | 22.6s
✅ Gen 014/100 | Best Loss (neg eff): -2.0819 | elite best: -2.0819 | 21.2s
✅ Gen 015/100 | Best Loss (neg eff): -73.7400 | elite best: -73.7400 | 22.8s
✅ Gen 016/100 | Best Loss (neg eff): -62.9072 | elite best: -62.9072 | 21.5s
✅ Gen 017/100 | Best Loss (neg eff): -82.9526 | elite best: -82.9526 | 19.9s
✅ Gen 018/100 | Best Loss (neg eff): -72.6293 | elite best: -72.6293 | 21.9s
✅ Gen 019/100 | Best Loss (neg eff): -52.3256 | elite best: -52.3256 | 21.2s
✅ Gen 020/100 | Best Loss (neg eff): -81.0646 | elite best: -81.0646 | 21.4s
✅ Gen 021/100 | Best Loss (neg eff): -56.1311 | elite best: -56.1311 | 21.8s
✅ Gen 022/100 | Best Loss (neg eff): -76.4400 | elite best: -76.4400 | 22.1s
✅ Gen 023/100 | Best Loss (neg eff): -2.2240 | elite best: -2.2240 | 22.5s
✅ Gen 024/100 | Best Loss (neg eff): -88.4888 | elite best: -88.4888 | 22.4s
✅ Gen 025/100 | Best Loss (neg eff): -70.2309 | elite best: -70.2309 | 21.4s
✅ Gen 026/100 | Best Loss (neg eff): -90.5602 | elite best: -90.5602 | 21.0s
✅ Gen 027/100 | Best Loss (neg eff): -89.9977 | elite best: -89.9977 | 21.1s
✅ Gen 028/100 | Best Loss (neg eff): -89.5114 | elite best: -89.5114 | 20.2s
✅ Gen 029/100 | Best Loss (neg eff): -84.4940 | elite best: -84.4940 | 20.4s
✅ Gen 030/100 | Best Loss (neg eff): -63.6183 | elite best: -63.6183 | 21.3s
✅ Gen 031/100 | Best Loss (neg eff): -87.9162 | elite best: -87.9162 | 20.1s
✅ Gen 032/100 | Best Loss (neg eff): -88.5679 | elite best: -88.5679 | 20.3s
✅ Gen 033/100 | Best Loss (neg eff): -88.2650 | elite best: -88.2650 | 21.2s
✅ Gen 034/100 | Best Loss (neg eff): -88.7284 | elite best: -88.7284 | 20.5s
✅ Gen 035/100 | Best Loss (neg eff): -85.5588 | elite best: -85.5588 | 20.9s
✅ Gen 036/100 | Best Loss (neg eff): -85.5505 | elite best: -85.5505 | 22.2s
✅ Gen 037/100 | Best Loss (neg eff): -89.9597 | elite best: -89.9597 | 21.9s
✅ Gen 038/100 | Best Loss (neg eff): -89.2108 | elite best: -89.2108 | 19.9s
✅ Gen 039/100 | Best Loss (neg eff): -70.5333 | elite best: -70.5333 | 20.7s
✅ Gen 040/100 | Best Loss (neg eff): -82.5085 | elite best: -82.5085 | 20.3s
✅ Gen 041/100 | Best Loss (neg eff): -90.4098 | elite best: -90.4098 | 21.9s
✅ Gen 042/100 | Best Loss (neg eff): -87.8758 | elite best: -87.8758 | 21.4s
✅ Gen 043/100 | Best Loss (neg eff): -84.7887 | elite best: -84.7887 | 20.5s
✅ Gen 044/100 | Best Loss (neg eff): -87.5136 | elite best: -87.5136 | 20.1s
✅ Gen 045/100 | Best Loss (neg eff): -85.5666 | elite best: -85.5666 | 22.0s
✅ Gen 046/100 | Best Loss (neg eff): -83.4451 | elite best: -83.4451 | 22.2s
✅ Gen 047/100 | Best Loss (neg eff): -81.0860 | elite best: -81.0860 | 20.3s
✅ Gen 048/100 | Best Loss (neg eff): -81.8091 | elite best: -81.8091 | 20.6s
✅ Gen 049/100 | Best Loss (neg eff): -91.6603 | elite best: -91.6603 | 20.4s
✅ Gen 050/100 | Best Loss (neg eff): -87.3044 | elite best: -87.3044 | 21.3s
✅ Gen 051/100 | Best Loss (neg eff): -83.7437 | elite best: -83.7437 | 22.1s
✅ Gen 052/100 | Best Loss (neg eff): -90.5643 | elite best: -90.5643 | 20.4s
✅ Gen 053/100 | Best Loss (neg eff): -87.1773 | elite best: -87.1773 | 19.0s
✅ Gen 054/100 | Best Loss (neg eff): -90.0786 | elite best: -90.0786 | 19.9s
✅ Gen 055/100 | Best Loss (neg eff): -85.8412 | elite best: -85.8412 | 20.3s
✅ Gen 056/100 | Best Loss (neg eff): -91.0265 | elite best: -91.0265 | 19.1s
✅ Gen 057/100 | Best Loss (neg eff): -84.4075 | elite best: -84.4075 | 19.7s
✅ Gen 058/100 | Best Loss (neg eff): -90.6235 | elite best: -90.6235 | 19.5s
✅ Gen 059/100 | Best Loss (neg eff): -88.8507 | elite best: -88.8507 | 20.8s
✅ Gen 060/100 | Best Loss (neg eff): -88.2680 | elite best: -88.2680 | 20.7s
✅ Gen 061/100 | Best Loss (neg eff): -82.9144 | elite best: -82.9144 | 19.9s
✅ Gen 062/100 | Best Loss (neg eff): -86.5182 | elite best: -86.5182 | 20.9s
✅ Gen 063/100 | Best Loss (neg eff): -81.5839 | elite best: -81.5839 | 20.9s
✅ Gen 064/100 | Best Loss (neg eff): -90.2840 | elite best: -90.2840 | 21.9s
✅ Gen 065/100 | Best Loss (neg eff): -81.6119 | elite best: -81.6119 | 19.9s
✅ Gen 066/100 | Best Loss (neg eff): -92.7457 | elite best: -92.7457 | 20.6s
✅ Gen 067/100 | Best Loss (neg eff): -91.1829 | elite best: -91.1829 | 20.1s
✅ Gen 068/100 | Best Loss (neg eff): -85.3882 | elite best: -85.3882 | 20.1s
✅ Gen 069/100 | Best Loss (neg eff): -87.7700 | elite best: -87.7700 | 19.9s
✅ Gen 070/100 | Best Loss (neg eff): -85.5532 | elite best: -85.5532 | 20.9s
✅ Gen 071/100 | Best Loss (neg eff): -93.3759 | elite best: -93.3759 | 23.1s
✅ Gen 072/100 | Best Loss (neg eff): -91.6844 | elite best: -91.6844 | 21.8s
✅ Gen 073/100 | Best Loss (neg eff): -92.5903 | elite best: -92.5903 | 21.5s
✅ Gen 074/100 | Best Loss (neg eff): -87.3306 | elite best: -87.3306 | 20.6s
✅ Gen 075/100 | Best Loss (neg eff): -88.6035 | elite best: -88.6035 | 19.6s
✅ Gen 076/100 | Best Loss (neg eff): -88.3846 | elite best: -88.3846 | 19.8s
✅ Gen 077/100 | Best Loss (neg eff): -90.6838 | elite best: -90.6838 | 20.1s
✅ Gen 078/100 | Best Loss (neg eff): -80.9960 | elite best: -80.9960 | 22.0s
✅ Gen 079/100 | Best Loss (neg eff): -89.3787 | elite best: -89.3787 | 22.7s
✅ Gen 080/100 | Best Loss (neg eff): -90.3268 | elite best: -90.3268 | 19.0s
✅ Gen 081/100 | Best Loss (neg eff): -83.5294 | elite best: -83.5294 | 21.5s
✅ Gen 082/100 | Best Loss (neg eff): -85.6169 | elite best: -85.6169 | 20.8s
✅ Gen 083/100 | Best Loss (neg eff): -84.8594 | elite best: -84.8594 | 20.7s
✅ Gen 084/100 | Best Loss (neg eff): -85.6933 | elite best: -85.6933 | 21.9s
✅ Gen 085/100 | Best Loss (neg eff): -91.5414 | elite best: -91.5414 | 20.7s
✅ Gen 086/100 | Best Loss (neg eff): -86.3197 | elite best: -86.3197 | 20.4s
✅ Gen 087/100 | Best Loss (neg eff): -86.8099 | elite best: -86.8099 | 20.4s
✅ Gen 088/100 | Best Loss (neg eff): -87.2588 | elite best: -87.2588 | 19.9s
✅ Gen 089/100 | Best Loss (neg eff): -87.9101 | elite best: -87.9101 | 19.0s
✅ Gen 090/100 | Best Loss (neg eff): -88.9314 | elite best: -88.9314 | 19.3s
✅ Gen 091/100 | Best Loss (neg eff): -90.1996 | elite best: -90.1996 | 23.2s
✅ Gen 092/100 | Best Loss (neg eff): -91.0979 | elite best: -91.0979 | 20.4s
✅ Gen 093/100 | Best Loss (neg eff): -88.4256 | elite best: -88.4256 | 19.5s
✅ Gen 094/100 | Best Loss (neg eff): -87.4445 | elite best: -87.4445 | 19.2s
✅ Gen 095/100 | Best Loss (neg eff): -91.5104 | elite best: -91.5104 | 19.6s
✅ Gen 096/100 | Best Loss (neg eff): -86.8090 | elite best: -86.8090 | 19.4s
✅ Gen 097/100 | Best Loss (neg eff): -89.9320 | elite best: -89.9320 | 19.5s
✅ Gen 098/100 | Best Loss (neg eff): -91.2326 | elite best: -91.2326 | 19.2s
✅ Gen 099/100 | Best Loss (neg eff): -94.2911 | elite best: -94.2911 | 19.9s
✅ Gen 100/100 | Best Loss (neg eff): -89.2929 | elite best: -89.2929 | 21.5s
   (stage wall-clock: 2083.7s)
💾 Stage 'vision_gate' complete. Best efficiency: 89.2929. Saved hebbian_vision_gate_vision_best.npy

######################################################################
### SEED 123 (2/3) -> hebbian_results_multiseed/vision_gate/seed_123/
######################################################################
↳ Seeding 'vision_gate' from existing genome 'hebbian_results_vision_v3/n10/hebbian_vision_flock_vision_best.npy' (instead of a fresh random one).

======================================================================
🧬 STAGE: vision_gate  ({'sensor_mode': 'vision', 'n_agents': 10, 'n_repeats': 3, 'max_battery': None, 'min_battery': None, 'nx': None, 'ny': None, 'use_battery_sensor': True, 'wind_enabled': False, 'gradient_map_path': None, 'freq_choices': (), 'gate_enabled': False, 'n_gates': 1, 'finish_x_choices': (), 'gate_opening_width': 1.0, 'post_gate_distance': 1.5, 'max_steps': 400})
======================================================================
(15_w,30)-aCMA-ES (mu_w=8.6,w_1=20%) in dimension 960 (seed=124, Sun Sep  6 18:51:29 2026)
✅ Gen 001/100 | Best Loss (neg eff): -2.3273 | elite best: -2.3273 | 21.6s
✅ Gen 002/100 | Best Loss (neg eff): -1.6755 | elite best: -1.6755 | 21.3s
✅ Gen 003/100 | Best Loss (neg eff): -2.3260 | elite best: -2.3260 | 21.5s
✅ Gen 004/100 | Best Loss (neg eff): -2.2469 | elite best: -2.2469 | 22.5s
✅ Gen 005/100 | Best Loss (neg eff): -76.5247 | elite best: -76.5247 | 23.0s
✅ Gen 006/100 | Best Loss (neg eff): -45.2378 | elite best: -45.2378 | 23.1s
✅ Gen 007/100 | Best Loss (neg eff): -73.0147 | elite best: -73.0147 | 21.4s
✅ Gen 008/100 | Best Loss (neg eff): -2.1616 | elite best: -2.1616 | 22.2s
✅ Gen 009/100 | Best Loss (neg eff): -1.8728 | elite best: -1.8728 | 23.4s
✅ Gen 010/100 | Best Loss (neg eff): -2.4114 | elite best: -2.4114 | 22.8s
✅ Gen 011/100 | Best Loss (neg eff): -2.1914 | elite best: -2.1914 | 21.8s
✅ Gen 012/100 | Best Loss (neg eff): -2.4600 | elite best: -2.4600 | 23.3s
✅ Gen 013/100 | Best Loss (neg eff): -2.2570 | elite best: -2.2570 | 21.4s
✅ Gen 014/100 | Best Loss (neg eff): -2.4079 | elite best: -2.4079 | 22.3s
✅ Gen 015/100 | Best Loss (neg eff): -79.5020 | elite best: -79.5020 | 22.9s
✅ Gen 016/100 | Best Loss (neg eff): -72.6240 | elite best: -72.6240 | 21.5s
✅ Gen 017/100 | Best Loss (neg eff): -2.2753 | elite best: -2.2753 | 22.0s
✅ Gen 018/100 | Best Loss (neg eff): -75.6676 | elite best: -75.6676 | 20.9s
✅ Gen 019/100 | Best Loss (neg eff): -2.3743 | elite best: -2.3743 | 20.8s
✅ Gen 020/100 | Best Loss (neg eff): -2.4472 | elite best: -2.4472 | 21.4s
✅ Gen 021/100 | Best Loss (neg eff): -66.6914 | elite best: -66.6914 | 22.5s
✅ Gen 022/100 | Best Loss (neg eff): -2.3760 | elite best: -2.3760 | 23.7s
✅ Gen 023/100 | Best Loss (neg eff): -2.3953 | elite best: -2.3953 | 22.6s
✅ Gen 024/100 | Best Loss (neg eff): -82.0968 | elite best: -82.0968 | 21.0s
✅ Gen 025/100 | Best Loss (neg eff): -71.0087 | elite best: -71.0087 | 21.5s
✅ Gen 026/100 | Best Loss (neg eff): -76.9389 | elite best: -76.9389 | 21.1s
✅ Gen 027/100 | Best Loss (neg eff): -76.7974 | elite best: -76.7974 | 21.2s
✅ Gen 028/100 | Best Loss (neg eff): -80.6641 | elite best: -80.6641 | 21.3s
✅ Gen 029/100 | Best Loss (neg eff): -2.3147 | elite best: -2.3147 | 21.7s
✅ Gen 030/100 | Best Loss (neg eff): -41.6191 | elite best: -41.6191 | 21.7s
✅ Gen 031/100 | Best Loss (neg eff): -84.8107 | elite best: -84.8107 | 21.9s
✅ Gen 032/100 | Best Loss (neg eff): -78.8302 | elite best: -78.8302 | 21.6s
✅ Gen 033/100 | Best Loss (neg eff): -80.9139 | elite best: -80.9139 | 21.1s
✅ Gen 034/100 | Best Loss (neg eff): -67.7607 | elite best: -67.7607 | 21.0s
✅ Gen 035/100 | Best Loss (neg eff): -64.5273 | elite best: -64.5273 | 22.0s
✅ Gen 036/100 | Best Loss (neg eff): -75.9637 | elite best: -75.9637 | 21.2s
✅ Gen 037/100 | Best Loss (neg eff): -2.4116 | elite best: -2.4116 | 22.7s
✅ Gen 038/100 | Best Loss (neg eff): -78.6698 | elite best: -78.6698 | 22.3s
✅ Gen 039/100 | Best Loss (neg eff): -74.6665 | elite best: -74.6665 | 20.9s
✅ Gen 040/100 | Best Loss (neg eff): -77.5058 | elite best: -77.5058 | 22.9s
✅ Gen 041/100 | Best Loss (neg eff): -74.5366 | elite best: -74.5366 | 22.3s
✅ Gen 042/100 | Best Loss (neg eff): -2.3364 | elite best: -2.3364 | 21.7s
✅ Gen 043/100 | Best Loss (neg eff): -70.8273 | elite best: -70.8273 | 22.4s
✅ Gen 044/100 | Best Loss (neg eff): -2.3912 | elite best: -2.3912 | 21.2s
✅ Gen 045/100 | Best Loss (neg eff): -64.8574 | elite best: -64.8574 | 23.0s
✅ Gen 046/100 | Best Loss (neg eff): -80.6433 | elite best: -80.6433 | 21.6s
✅ Gen 047/100 | Best Loss (neg eff): -58.5240 | elite best: -58.5240 | 21.6s
