=== waiting for current job (thymio_n10 + quadrant_n10) to finish ===
Fr 4. Sep 21:19:13 CEST 2026
=== [relaunched with --workers 15 to leave headroom for interactive/other use] waiting for current job to finish ===
Fr 4. Sep 21:21:06 CEST 2026
=== current job finished, starting sweep ===
Fr 4. Sep 21:55:23 CEST 2026
=== SWEEP RUN: n_agents_5 ===
Fr 4. Sep 21:55:23 CEST 2026
🚀 stages=['follow_gradient_no_gate', 'gate_passing'], sensor_mode=quadrant, popsize=30, maxiter=100, n_agents=5, n_repeats=3, workers=15

======================================================================
🧬 STAGE: follow_gradient_no_gate  ({'sensor_mode': 'quadrant', 'n_agents': 5, 'n_repeats': 3, 'max_battery': None, 'min_battery': None, 'nx': None, 'ny': None, 'use_battery_sensor': True, 'wind_enabled': False, 'gradient_map_path': None, 'freq_choices': (2.0, 4.0, 6.0), 'gate_enabled': False, 'n_gates': 1, 'finish_x_choices': (-2.5, -3.5, -4.5), 'gate_opening_width': 1.0, 'post_gate_distance': 1.5})
======================================================================
(15_w,30)-aCMA-ES (mu_w=8.6,w_1=20%) in dimension 920 (seed=604805, Fri Sep  4 21:55:24 2026)
✅ Gen 001/100 | Best Loss (neg eff): -57.5403 | 6.9s
✅ Gen 002/100 | Best Loss (neg eff): -73.3600 | 11.6s
✅ Gen 003/100 | Best Loss (neg eff): -77.7613 | 8.3s
✅ Gen 004/100 | Best Loss (neg eff): -111.2537 | 6.4s
✅ Gen 005/100 | Best Loss (neg eff): -130.0482 | 5.4s
✅ Gen 006/100 | Best Loss (neg eff): -153.9757 | 4.5s
✅ Gen 007/100 | Best Loss (neg eff): -165.3414 | 5.2s
✅ Gen 008/100 | Best Loss (neg eff): -165.7726 | 6.0s
✅ Gen 009/100 | Best Loss (neg eff): -163.6246 | 4.6s
✅ Gen 010/100 | Best Loss (neg eff): -156.5486 | 3.0s
✅ Gen 011/100 | Best Loss (neg eff): -163.0041 | 3.2s
✅ Gen 012/100 | Best Loss (neg eff): -169.4750 | 3.0s
✅ Gen 013/100 | Best Loss (neg eff): -164.0595 | 3.2s
✅ Gen 014/100 | Best Loss (neg eff): -161.6316 | 3.3s
✅ Gen 015/100 | Best Loss (neg eff): -177.0725 | 2.4s
✅ Gen 016/100 | Best Loss (neg eff): -164.4870 | 2.5s
✅ Gen 017/100 | Best Loss (neg eff): -173.3756 | 3.3s
✅ Gen 018/100 | Best Loss (neg eff): -179.0346 | 4.2s
✅ Gen 019/100 | Best Loss (neg eff): -174.1945 | 4.0s
