🚀 stages=['follow_gradient_no_gate', 'gate_passing'], sensor_mode=quadrant, popsize=30, maxiter=100, n_agents=10, n_repeats=3, workers=22

======================================================================
🧬 STAGE: follow_gradient_no_gate  ({'sensor_mode': 'quadrant', 'n_agents': 10, 'n_repeats': 3, 'max_battery': None, 'min_battery': None, 'nx': None, 'ny': None, 'use_battery_sensor': True, 'wind_enabled': False, 'gradient_map_path': None, 'freq_choices': (2.0, 4.0, 6.0), 'gate_enabled': False, 'n_gates': 1, 'finish_x_choices': (-2.5, -3.5, -4.5), 'gate_opening_width': 1.0, 'post_gate_distance': 1.5})
======================================================================
(15_w,30)-aCMA-ES (mu_w=8.6,w_1=20%) in dimension 920 (seed=749950, Sat Sep  5 10:11:52 2026)
✅ Gen 001/100 | Best Loss (neg eff): -5.2442 | 6.6s
✅ Gen 002/100 | Best Loss (neg eff): -11.8471 | 6.5s
✅ Gen 003/100 | Best Loss (neg eff): -20.0082 | 6.4s
✅ Gen 004/100 | Best Loss (neg eff): -107.4097 | 6.1s
✅ Gen 005/100 | Best Loss (neg eff): -99.7454 | 9.1s
✅ Gen 006/100 | Best Loss (neg eff): -107.5774 | 9.8s
✅ Gen 007/100 | Best Loss (neg eff): -112.6204 | 11.8s
✅ Gen 008/100 | Best Loss (neg eff): -108.9039 | 13.2s
✅ Gen 009/100 | Best Loss (neg eff): -115.5809 | 11.4s
✅ Gen 010/100 | Best Loss (neg eff): -120.5508 | 9.9s
✅ Gen 011/100 | Best Loss (neg eff): -117.6330 | 6.2s
✅ Gen 012/100 | Best Loss (neg eff): -118.3746 | 6.0s
✅ Gen 013/100 | Best Loss (neg eff): -135.1362 | 7.0s
✅ Gen 014/100 | Best Loss (neg eff): -130.1426 | 9.2s
✅ Gen 015/100 | Best Loss (neg eff): -130.1236 | 4.9s
✅ Gen 016/100 | Best Loss (neg eff): -137.5924 | 6.3s
✅ Gen 017/100 | Best Loss (neg eff): -132.4307 | 5.2s
✅ Gen 018/100 | Best Loss (neg eff): -135.3017 | 7.6s
✅ Gen 019/100 | Best Loss (neg eff): -149.4391 | 7.5s
✅ Gen 020/100 | Best Loss (neg eff): -170.8837 | 9.2s
✅ Gen 021/100 | Best Loss (neg eff): -153.4412 | 6.1s
✅ Gen 022/100 | Best Loss (neg eff): -174.4747 | 5.9s
✅ Gen 023/100 | Best Loss (neg eff): -152.7799 | 5.8s
✅ Gen 024/100 | Best Loss (neg eff): -169.5987 | 7.6s
✅ Gen 025/100 | Best Loss (neg eff): -180.6984 | 9.0s
✅ Gen 026/100 | Best Loss (neg eff): -159.5489 | 7.9s
✅ Gen 027/100 | Best Loss (neg eff): -183.5997 | 9.7s
✅ Gen 028/100 | Best Loss (neg eff): -190.9550 | 7.0s
✅ Gen 029/100 | Best Loss (neg eff): -174.5135 | 6.9s
✅ Gen 030/100 | Best Loss (neg eff): -160.3408 | 6.4s
✅ Gen 031/100 | Best Loss (neg eff): -161.7125 | 8.6s
✅ Gen 032/100 | Best Loss (neg eff): -194.8384 | 7.5s
✅ Gen 033/100 | Best Loss (neg eff): -162.4011 | 6.6s
✅ Gen 034/100 | Best Loss (neg eff): -177.1336 | 5.5s
✅ Gen 035/100 | Best Loss (neg eff): -171.3844 | 6.4s
✅ Gen 036/100 | Best Loss (neg eff): -169.3599 | 9.4s
✅ Gen 037/100 | Best Loss (neg eff): -200.1740 | 10.7s
✅ Gen 038/100 | Best Loss (neg eff): -157.1120 | 9.4s
✅ Gen 039/100 | Best Loss (neg eff): -169.3800 | 6.4s
✅ Gen 040/100 | Best Loss (neg eff): -177.9682 | 5.3s
✅ Gen 041/100 | Best Loss (neg eff): -174.7843 | 8.1s
✅ Gen 042/100 | Best Loss (neg eff): -183.0612 | 8.4s
✅ Gen 043/100 | Best Loss (neg eff): -204.6158 | 9.8s
✅ Gen 044/100 | Best Loss (neg eff): -154.0407 | 8.2s
✅ Gen 045/100 | Best Loss (neg eff): -173.5446 | 7.4s
✅ Gen 046/100 | Best Loss (neg eff): -173.5029 | 9.6s
✅ Gen 047/100 | Best Loss (neg eff): -161.6339 | 9.9s
✅ Gen 048/100 | Best Loss (neg eff): -181.1817 | 9.3s
✅ Gen 049/100 | Best Loss (neg eff): -179.0902 | 6.7s
✅ Gen 050/100 | Best Loss (neg eff): -178.5912 | 8.2s
✅ Gen 051/100 | Best Loss (neg eff): -183.8523 | 10.8s
✅ Gen 052/100 | Best Loss (neg eff): -166.1983 | 8.8s
✅ Gen 053/100 | Best Loss (neg eff): -182.9830 | 8.4s
✅ Gen 054/100 | Best Loss (neg eff): -179.9727 | 7.8s
✅ Gen 055/100 | Best Loss (neg eff): -200.5051 | 8.5s
✅ Gen 056/100 | Best Loss (neg eff): -178.4088 | 8.8s
✅ Gen 057/100 | Best Loss (neg eff): -164.0531 | 8.1s
✅ Gen 058/100 | Best Loss (neg eff): -197.7698 | 7.7s
✅ Gen 059/100 | Best Loss (neg eff): -183.4375 | 6.3s
✅ Gen 060/100 | Best Loss (neg eff): -197.0415 | 5.7s
✅ Gen 061/100 | Best Loss (neg eff): -222.9403 | 9.5s
✅ Gen 062/100 | Best Loss (neg eff): -218.8446 | 10.0s
✅ Gen 063/100 | Best Loss (neg eff): -188.4291 | 10.6s
✅ Gen 064/100 | Best Loss (neg eff): -186.5449 | 9.1s
✅ Gen 065/100 | Best Loss (neg eff): -182.7813 | 5.8s
✅ Gen 066/100 | Best Loss (neg eff): -198.9374 | 9.0s
✅ Gen 067/100 | Best Loss (neg eff): -179.4084 | 9.2s
✅ Gen 068/100 | Best Loss (neg eff): -218.9393 | 8.7s
✅ Gen 069/100 | Best Loss (neg eff): -227.2730 | 7.8s
✅ Gen 070/100 | Best Loss (neg eff): -185.6013 | 8.8s
✅ Gen 071/100 | Best Loss (neg eff): -167.1131 | 9.9s
✅ Gen 072/100 | Best Loss (neg eff): -233.6804 | 7.6s
✅ Gen 073/100 | Best Loss (neg eff): -187.1657 | 7.1s
✅ Gen 074/100 | Best Loss (neg eff): -164.9107 | 5.8s
✅ Gen 075/100 | Best Loss (neg eff): -173.5398 | 7.9s
✅ Gen 076/100 | Best Loss (neg eff): -193.8038 | 8.0s
✅ Gen 077/100 | Best Loss (neg eff): -182.6701 | 8.6s
✅ Gen 078/100 | Best Loss (neg eff): -210.0044 | 8.7s
✅ Gen 079/100 | Best Loss (neg eff): -203.1476 | 9.1s
✅ Gen 080/100 | Best Loss (neg eff): -207.8723 | 10.0s
✅ Gen 081/100 | Best Loss (neg eff): -205.4281 | 8.5s
✅ Gen 082/100 | Best Loss (neg eff): -265.7021 | 5.3s
✅ Gen 083/100 | Best Loss (neg eff): -205.6187 | 6.9s
✅ Gen 084/100 | Best Loss (neg eff): -195.7067 | 9.1s
✅ Gen 085/100 | Best Loss (neg eff): -217.5826 | 10.1s
✅ Gen 086/100 | Best Loss (neg eff): -192.4810 | 9.4s
✅ Gen 087/100 | Best Loss (neg eff): -190.6916 | 10.0s
✅ Gen 088/100 | Best Loss (neg eff): -209.5622 | 7.4s
