🚀 stages=['follow_gradient_no_gate', 'gate_passing'], sensor_mode=quadrant, popsize=30, maxiter=100, n_agents=10, n_repeats=3, workers=22

======================================================================
🧬 STAGE: follow_gradient_no_gate  ({'sensor_mode': 'quadrant', 'n_agents': 10, 'n_repeats': 3, 'max_battery': None, 'min_battery': None, 'nx': None, 'ny': None, 'use_battery_sensor': True, 'wind_enabled': False, 'gradient_map_path': None, 'freq_choices': (2.0, 4.0, 6.0), 'gate_enabled': False, 'n_gates': 1, 'finish_x_choices': (-2.5, -3.5, -4.5), 'gate_opening_width': 1.0, 'post_gate_distance': 1.5, 'max_steps': 400})
======================================================================
(15_w,30)-aCMA-ES (mu_w=8.6,w_1=20%) in dimension 920 (seed=755386, Sat Sep  5 10:56:12 2026)
✅ Gen 001/100 | Best Loss (neg eff): -6.6844 | 5.8s
✅ Gen 002/100 | Best Loss (neg eff): -6.8149 | 6.5s
✅ Gen 003/100 | Best Loss (neg eff): -14.2370 | 6.3s
✅ Gen 004/100 | Best Loss (neg eff): -17.4621 | 6.0s
✅ Gen 005/100 | Best Loss (neg eff): -16.5622 | 6.3s
✅ Gen 006/100 | Best Loss (neg eff): -89.4944 | 5.4s
✅ Gen 007/100 | Best Loss (neg eff): -21.2953 | 5.8s
✅ Gen 008/100 | Best Loss (neg eff): -22.8746 | 6.0s
✅ Gen 009/100 | Best Loss (neg eff): -93.8881 | 6.0s
✅ Gen 010/100 | Best Loss (neg eff): -92.2363 | 5.8s
✅ Gen 011/100 | Best Loss (neg eff): -96.3212 | 5.0s
✅ Gen 012/100 | Best Loss (neg eff): -94.2039 | 5.8s
✅ Gen 013/100 | Best Loss (neg eff): -93.1587 | 6.2s
✅ Gen 014/100 | Best Loss (neg eff): -91.0818 | 5.3s
✅ Gen 015/100 | Best Loss (neg eff): -101.0977 | 5.7s
✅ Gen 016/100 | Best Loss (neg eff): -99.7576 | 4.9s
✅ Gen 017/100 | Best Loss (neg eff): -91.8942 | 5.6s
✅ Gen 018/100 | Best Loss (neg eff): -93.5560 | 5.6s
✅ Gen 019/100 | Best Loss (neg eff): -95.1248 | 5.5s
✅ Gen 020/100 | Best Loss (neg eff): -101.2026 | 5.2s
✅ Gen 021/100 | Best Loss (neg eff): -99.6622 | 5.6s
✅ Gen 022/100 | Best Loss (neg eff): -98.1158 | 5.6s
✅ Gen 023/100 | Best Loss (neg eff): -98.4273 | 5.5s
✅ Gen 024/100 | Best Loss (neg eff): -100.0909 | 5.4s
✅ Gen 025/100 | Best Loss (neg eff): -101.4332 | 5.0s
✅ Gen 026/100 | Best Loss (neg eff): -97.6407 | 5.0s
✅ Gen 027/100 | Best Loss (neg eff): -99.7078 | 4.5s
✅ Gen 028/100 | Best Loss (neg eff): -101.9507 | 4.9s
✅ Gen 029/100 | Best Loss (neg eff): -101.0607 | 4.6s
✅ Gen 030/100 | Best Loss (neg eff): -102.8237 | 4.2s
✅ Gen 031/100 | Best Loss (neg eff): -101.2744 | 4.4s
✅ Gen 032/100 | Best Loss (neg eff): -101.9437 | 4.3s
✅ Gen 033/100 | Best Loss (neg eff): -103.0996 | 4.4s
✅ Gen 034/100 | Best Loss (neg eff): -100.4806 | 4.4s
✅ Gen 035/100 | Best Loss (neg eff): -102.0933 | 4.5s
✅ Gen 036/100 | Best Loss (neg eff): -102.3118 | 3.9s
