🚀 stages=['flock_cohesion', 'flock_gradient', 'flock_gate', 'flock_gate_speed'], sensor_mode=quadrant, popsize=30, maxiter=100, n_agents=10, n_repeats=3, workers=15

======================================================================
🧬 STAGE: flock_cohesion  ({'sensor_mode': 'quadrant', 'n_agents': 10, 'n_repeats': 3, 'max_battery': None, 'min_battery': None, 'nx': None, 'ny': None, 'use_battery_sensor': True, 'wind_enabled': False, 'gradient_map_path': None, 'freq_choices': (2.0, 4.0, 6.0), 'gate_enabled': False, 'n_gates': 1, 'finish_x_choices': (-2.5, -3.5, -4.5), 'gate_opening_width': 1.0, 'post_gate_distance': 1.5, 'max_steps': 400})
======================================================================
(15_w,30)-aCMA-ES (mu_w=8.6,w_1=20%) in dimension 920 (seed=712743, Sat Sep  5 13:26:43 2026)
✅ Gen 001/100 | Best Loss (neg eff): 1.6189 | 5.0s
✅ Gen 002/100 | Best Loss (neg eff): 1.5702 | 5.9s
✅ Gen 003/100 | Best Loss (neg eff): 1.5415 | 7.2s
✅ Gen 004/100 | Best Loss (neg eff): 1.4528 | 6.3s
✅ Gen 005/100 | Best Loss (neg eff): 1.4303 | 4.1s
✅ Gen 006/100 | Best Loss (neg eff): 1.3110 | 3.8s
✅ Gen 007/100 | Best Loss (neg eff): 1.3689 | 3.9s
✅ Gen 008/100 | Best Loss (neg eff): 1.3848 | 3.7s
✅ Gen 009/100 | Best Loss (neg eff): 1.3609 | 4.9s
✅ Gen 010/100 | Best Loss (neg eff): 1.2432 | 5.9s
✅ Gen 011/100 | Best Loss (neg eff): 1.2993 | 4.8s
✅ Gen 012/100 | Best Loss (neg eff): 1.2127 | 3.8s
✅ Gen 013/100 | Best Loss (neg eff): 1.2492 | 3.9s
✅ Gen 014/100 | Best Loss (neg eff): 1.1506 | 4.3s
✅ Gen 015/100 | Best Loss (neg eff): 1.1357 | 6.5s
✅ Gen 016/100 | Best Loss (neg eff): 1.1305 | 5.9s
✅ Gen 017/100 | Best Loss (neg eff): 1.1159 | 4.2s
✅ Gen 018/100 | Best Loss (neg eff): 1.0651 | 3.9s
✅ Gen 019/100 | Best Loss (neg eff): 1.0794 | 5.3s
✅ Gen 020/100 | Best Loss (neg eff): 1.0544 | 4.1s
✅ Gen 021/100 | Best Loss (neg eff): 1.0397 | 4.1s
✅ Gen 022/100 | Best Loss (neg eff): 1.0026 | 6.0s
✅ Gen 023/100 | Best Loss (neg eff): 1.0344 | 6.3s
✅ Gen 024/100 | Best Loss (neg eff): 1.0050 | 5.3s
✅ Gen 025/100 | Best Loss (neg eff): 0.9959 | 4.0s
