🚀 stages=['vision_flock', 'vision_gate'], sensor_mode=vision, popsize=30, maxiter=100, n_agents=10, n_repeats=3, workers=15

======================================================================
🧬 STAGE: vision_flock  ({'sensor_mode': 'vision', 'n_agents': 10, 'n_repeats': 3, 'max_battery': None, 'min_battery': None, 'nx': None, 'ny': None, 'use_battery_sensor': True, 'wind_enabled': False, 'gradient_map_path': None, 'freq_choices': (), 'gate_enabled': False, 'n_gates': 1, 'finish_x_choices': (), 'gate_opening_width': 1.0, 'post_gate_distance': 1.5, 'max_steps': 400})
======================================================================
(15_w,30)-aCMA-ES (mu_w=8.6,w_1=20%) in dimension 960 (seed=43, Sat Sep  5 15:04:28 2026)
✅ Gen 001/100 | Best Loss (neg eff): 1.6095 | 20.8s
✅ Gen 002/100 | Best Loss (neg eff): 1.4929 | 18.9s
✅ Gen 003/100 | Best Loss (neg eff): 1.2949 | 19.0s
✅ Gen 004/100 | Best Loss (neg eff): 0.8549 | 18.5s
✅ Gen 005/100 | Best Loss (neg eff): 0.9292 | 19.3s
✅ Gen 006/100 | Best Loss (neg eff): 0.9831 | 18.4s
✅ Gen 007/100 | Best Loss (neg eff): 0.6358 | 18.6s
✅ Gen 008/100 | Best Loss (neg eff): 0.2856 | 19.2s
✅ Gen 009/100 | Best Loss (neg eff): 0.2977 | 18.8s
✅ Gen 010/100 | Best Loss (neg eff): 0.3130 | 19.6s
✅ Gen 011/100 | Best Loss (neg eff): 0.2012 | 19.9s
✅ Gen 012/100 | Best Loss (neg eff): 0.0046 | 19.8s
✅ Gen 013/100 | Best Loss (neg eff): -0.0250 | 21.7s
✅ Gen 014/100 | Best Loss (neg eff): -0.4032 | 21.4s
✅ Gen 015/100 | Best Loss (neg eff): -0.4444 | 20.1s
✅ Gen 016/100 | Best Loss (neg eff): -0.5647 | 21.4s
✅ Gen 017/100 | Best Loss (neg eff): -0.6255 | 19.4s
✅ Gen 018/100 | Best Loss (neg eff): -0.7660 | 19.3s
✅ Gen 019/100 | Best Loss (neg eff): -0.8192 | 20.6s
✅ Gen 020/100 | Best Loss (neg eff): -0.8913 | 19.7s
✅ Gen 021/100 | Best Loss (neg eff): -1.0310 | 21.3s
✅ Gen 022/100 | Best Loss (neg eff): -1.1733 | 20.4s
✅ Gen 023/100 | Best Loss (neg eff): -1.1210 | 18.8s
✅ Gen 024/100 | Best Loss (neg eff): -1.2301 | 19.5s
✅ Gen 025/100 | Best Loss (neg eff): -1.2958 | 19.6s
✅ Gen 026/100 | Best Loss (neg eff): -1.4042 | 19.4s
✅ Gen 027/100 | Best Loss (neg eff): -1.5142 | 19.4s
✅ Gen 028/100 | Best Loss (neg eff): -1.5550 | 20.1s
