🚀 stages=['vision_gate_curriculum'], sensor_mode=vision, popsize=30, maxiter=100, n_agents=10, n_repeats=3, workers=15
↳ Seeding 'vision_gate_curriculum' from existing genome 'hebbian_results_vision_v3/n10/hebbian_vision_flock_vision_best.npy' (instead of a fresh random one).

======================================================================
🧬 STAGE: vision_gate_curriculum  ({'sensor_mode': 'vision', 'n_agents': 10, 'n_repeats': 3, 'max_battery': None, 'min_battery': None, 'nx': None, 'ny': None, 'use_battery_sensor': True, 'wind_enabled': False, 'gradient_map_path': None, 'freq_choices': (), 'gate_enabled': False, 'n_gates': 1, 'finish_x_choices': (), 'gate_opening_width': 1.0, 'post_gate_distance': 1.5, 'max_steps': 400})
======================================================================
(15_w,30)-aCMA-ES (mu_w=8.6,w_1=20%) in dimension 960 (seed=43, Sun Sep  6 11:03:12 2026)
✅ Gen 001/100 | Best Loss (neg eff): 1.5282 | elite best: 1.5282 | difficulty: 0.01 | 22.3s
✅ Gen 002/100 | Best Loss (neg eff): -13.1424 | elite best: -13.1424 | difficulty: 0.03 | 19.1s
✅ Gen 003/100 | Best Loss (neg eff): -0.2137 | elite best: -13.1424 | difficulty: 0.04 | 21.9s
✅ Gen 004/100 | Best Loss (neg eff): -5.1234 | elite best: -13.1424 | difficulty: 0.06 | 19.1s
✅ Gen 005/100 | Best Loss (neg eff): -22.4718 | elite best: -22.4718 | difficulty: 0.07 | 23.5s
✅ Gen 006/100 | Best Loss (neg eff): 2.2709 | elite best: -22.4718 | difficulty: 0.09 | 20.1s
✅ Gen 007/100 | Best Loss (neg eff): 1.8399 | elite best: -22.4718 | difficulty: 0.10 | 16.3s
✅ Gen 008/100 | Best Loss (neg eff): 3.8901 | elite best: -22.4718 | difficulty: 0.11 | 21.9s
✅ Gen 009/100 | Best Loss (neg eff): 1.7555 | elite best: -22.4718 | difficulty: 0.13 | 20.7s
✅ Gen 010/100 | Best Loss (neg eff): -0.1002 | elite best: -22.4718 | difficulty: 0.14 | 19.8s
✅ Gen 011/100 | Best Loss (neg eff): -0.0196 | elite best: -22.4718 | difficulty: 0.16 | 18.3s
✅ Gen 012/100 | Best Loss (neg eff): -8.0844 | elite best: -22.4718 | difficulty: 0.17 | 17.3s
✅ Gen 013/100 | Best Loss (neg eff): 0.0472 | elite best: -22.4718 | difficulty: 0.19 | 20.5s
✅ Gen 014/100 | Best Loss (neg eff): -0.6288 | elite best: -22.4718 | difficulty: 0.20 | 19.4s
✅ Gen 015/100 | Best Loss (neg eff): -0.6128 | elite best: -22.4718 | difficulty: 0.21 | 20.1s
✅ Gen 016/100 | Best Loss (neg eff): -0.2522 | elite best: -22.4718 | difficulty: 0.23 | 16.6s
✅ Gen 017/100 | Best Loss (neg eff): -1.0714 | elite best: -22.4718 | difficulty: 0.24 | 19.4s
✅ Gen 018/100 | Best Loss (neg eff): -0.1635 | elite best: -22.4718 | difficulty: 0.26 | 18.3s
