🚀 stages=['vision_gate_curriculum'], sensor_mode=vision, popsize=30, maxiter=100, n_agents=10, n_repeats=3, workers=15
↳ Seeding 'vision_gate_curriculum' from existing genome 'hebbian_results_vision_v3/n10/hebbian_vision_flock_vision_best.npy' (instead of a fresh random one).

======================================================================
🧬 STAGE: vision_gate_curriculum  ({'sensor_mode': 'vision', 'n_agents': 10, 'n_repeats': 3, 'max_battery': None, 'min_battery': None, 'nx': None, 'ny': None, 'use_battery_sensor': True, 'wind_enabled': False, 'gradient_map_path': None, 'freq_choices': (), 'gate_enabled': False, 'n_gates': 1, 'finish_x_choices': (), 'gate_opening_width': 1.0, 'post_gate_distance': 1.5, 'max_steps': 400})
======================================================================
(15_w,30)-aCMA-ES (mu_w=8.6,w_1=20%) in dimension 960 (seed=43, Sun Sep  6 11:38:27 2026)
✅ Gen 001/100 | Best Loss (neg eff): 1.5282 | elite best: 1.5282 | difficulty: 0.01 | 23.5s
✅ Gen 002/100 | Best Loss (neg eff): -13.1424 | elite best: -13.1424 | difficulty: 0.03 | 20.7s
✅ Gen 003/100 | Best Loss (neg eff): -0.2137 | elite best: -0.2137 | difficulty: 0.04 | 21.3s
✅ Gen 004/100 | Best Loss (neg eff): -5.1234 | elite best: -5.1234 | difficulty: 0.06 | 22.4s
✅ Gen 005/100 | Best Loss (neg eff): 2.5797 | elite best: 2.5797 | difficulty: 0.07 | 24.9s
✅ Gen 006/100 | Best Loss (neg eff): 3.1272 | elite best: 3.1272 | difficulty: 0.09 | 20.1s
✅ Gen 007/100 | Best Loss (neg eff): 1.6171 | elite best: 1.6171 | difficulty: 0.10 | 19.2s
✅ Gen 008/100 | Best Loss (neg eff): -0.1860 | elite best: -0.1860 | difficulty: 0.11 | 20.7s
✅ Gen 009/100 | Best Loss (neg eff): 0.2272 | elite best: 0.2272 | difficulty: 0.13 | 20.1s
✅ Gen 010/100 | Best Loss (neg eff): 0.9828 | elite best: 0.9828 | difficulty: 0.14 | 18.7s
✅ Gen 011/100 | Best Loss (neg eff): 0.2263 | elite best: 0.2263 | difficulty: 0.16 | 19.7s
✅ Gen 012/100 | Best Loss (neg eff): -0.7553 | elite best: -0.7553 | difficulty: 0.17 | 18.8s
✅ Gen 013/100 | Best Loss (neg eff): -0.3619 | elite best: -0.3619 | difficulty: 0.19 | 17.4s
✅ Gen 014/100 | Best Loss (neg eff): -0.5810 | elite best: -0.5810 | difficulty: 0.20 | 17.6s
✅ Gen 015/100 | Best Loss (neg eff): -0.5286 | elite best: -0.5286 | difficulty: 0.21 | 17.5s
✅ Gen 016/100 | Best Loss (neg eff): -0.8540 | elite best: -0.8540 | difficulty: 0.23 | 17.1s
✅ Gen 017/100 | Best Loss (neg eff): -0.6138 | elite best: -0.6138 | difficulty: 0.24 | 17.6s
✅ Gen 018/100 | Best Loss (neg eff): -0.6368 | elite best: -0.6368 | difficulty: 0.26 | 18.7s
✅ Gen 019/100 | Best Loss (neg eff): -0.5887 | elite best: -0.5887 | difficulty: 0.27 | 16.9s
✅ Gen 020/100 | Best Loss (neg eff): -0.3663 | elite best: -0.3663 | difficulty: 0.29 | 17.1s
✅ Gen 021/100 | Best Loss (neg eff): -0.4716 | elite best: -0.4716 | difficulty: 0.30 | 16.5s
✅ Gen 022/100 | Best Loss (neg eff): -0.2201 | elite best: -0.2201 | difficulty: 0.31 | 16.4s
✅ Gen 023/100 | Best Loss (neg eff): -0.4953 | elite best: -0.4953 | difficulty: 0.33 | 18.3s
✅ Gen 024/100 | Best Loss (neg eff): -0.7019 | elite best: -0.7019 | difficulty: 0.34 | 17.3s
✅ Gen 025/100 | Best Loss (neg eff): -0.4594 | elite best: -0.4594 | difficulty: 0.36 | 17.2s
✅ Gen 026/100 | Best Loss (neg eff): -0.8929 | elite best: -0.8929 | difficulty: 0.37 | 18.6s
✅ Gen 027/100 | Best Loss (neg eff): -0.2918 | elite best: -0.2918 | difficulty: 0.39 | 18.8s
✅ Gen 028/100 | Best Loss (neg eff): -0.4729 | elite best: -0.4729 | difficulty: 0.40 | 18.0s
✅ Gen 029/100 | Best Loss (neg eff): -0.5489 | elite best: -0.5489 | difficulty: 0.41 | 19.7s
✅ Gen 030/100 | Best Loss (neg eff): -0.8130 | elite best: -0.8130 | difficulty: 0.43 | 18.6s
✅ Gen 031/100 | Best Loss (neg eff): -0.8633 | elite best: -0.8633 | difficulty: 0.44 | 19.7s
✅ Gen 032/100 | Best Loss (neg eff): -0.7132 | elite best: -0.7132 | difficulty: 0.46 | 18.9s
✅ Gen 033/100 | Best Loss (neg eff): -0.8629 | elite best: -0.8629 | difficulty: 0.47 | 20.3s
