🚀 stages=['vision_gate_curriculum'], sensor_mode=vision, popsize=30, maxiter=300, n_agents=10, n_repeats=3, workers=15
↳ Seeding 'vision_gate_curriculum' from existing genome 'hebbian_results_vision_v3/n10/hebbian_vision_flock_vision_best.npy' (instead of a fresh random one).

======================================================================
🧬 STAGE: vision_gate_curriculum  ({'sensor_mode': 'vision', 'n_agents': 10, 'n_repeats': 3, 'max_battery': None, 'min_battery': None, 'nx': None, 'ny': None, 'use_battery_sensor': True, 'wind_enabled': False, 'gradient_map_path': None, 'freq_choices': (), 'gate_enabled': False, 'n_gates': 1, 'finish_x_choices': (), 'gate_opening_width': 1.0, 'post_gate_distance': 1.5, 'max_steps': 400})
======================================================================
(15_w,30)-aCMA-ES (mu_w=8.6,w_1=20%) in dimension 960 (seed=43, Sun Sep  6 13:30:17 2026)
✅ Gen 001/300 | Best Loss (neg eff): -0.7961 | elite best: -0.7961 | difficulty: 0.00 | 14.0s
✅ Gen 002/300 | Best Loss (neg eff): -1.0597 | elite best: -1.0597 | difficulty: 0.01 | 14.6s
✅ Gen 003/300 | Best Loss (neg eff): -0.0961 | elite best: -0.0961 | difficulty: 0.01 | 13.5s
✅ Gen 004/300 | Best Loss (neg eff): 1.5749 | elite best: 1.5749 | difficulty: 0.02 | 13.0s
✅ Gen 005/300 | Best Loss (neg eff): 0.9577 | elite best: 0.9577 | difficulty: 0.02 | 12.8s
✅ Gen 006/300 | Best Loss (neg eff): -0.3349 | elite best: -0.3349 | difficulty: 0.03 | 12.2s
✅ Gen 007/300 | Best Loss (neg eff): 1.1973 | elite best: 1.1973 | difficulty: 0.03 | 12.2s
✅ Gen 008/300 | Best Loss (neg eff): 0.1396 | elite best: 0.1396 | difficulty: 0.04 | 12.8s
✅ Gen 009/300 | Best Loss (neg eff): 0.0600 | elite best: 0.0600 | difficulty: 0.04 | 12.3s
✅ Gen 010/300 | Best Loss (neg eff): -0.5076 | elite best: -0.5076 | difficulty: 0.05 | 12.4s
✅ Gen 011/300 | Best Loss (neg eff): -0.2940 | elite best: -0.2940 | difficulty: 0.05 | 12.6s
✅ Gen 012/300 | Best Loss (neg eff): -0.6669 | elite best: -0.6669 | difficulty: 0.06 | 12.6s
✅ Gen 013/300 | Best Loss (neg eff): -0.8220 | elite best: -0.8220 | difficulty: 0.06 | 12.2s
✅ Gen 014/300 | Best Loss (neg eff): -1.0387 | elite best: -1.0387 | difficulty: 0.07 | 12.3s
✅ Gen 015/300 | Best Loss (neg eff): 0.2672 | elite best: 0.2672 | difficulty: 0.07 | 12.2s
✅ Gen 016/300 | Best Loss (neg eff): -0.2213 | elite best: -0.2213 | difficulty: 0.08 | 11.5s
✅ Gen 017/300 | Best Loss (neg eff): -0.1191 | elite best: -0.1191 | difficulty: 0.08 | 11.2s
✅ Gen 018/300 | Best Loss (neg eff): 0.1239 | elite best: 0.1239 | difficulty: 0.09 | 11.1s
✅ Gen 019/300 | Best Loss (neg eff): -0.3316 | elite best: -0.3316 | difficulty: 0.09 | 11.9s
✅ Gen 020/300 | Best Loss (neg eff): -0.3245 | elite best: -0.3245 | difficulty: 0.10 | 11.5s
✅ Gen 021/300 | Best Loss (neg eff): -0.2938 | elite best: -0.2938 | difficulty: 0.10 | 11.3s
✅ Gen 022/300 | Best Loss (neg eff): -0.4231 | elite best: -0.4231 | difficulty: 0.10 | 11.9s
✅ Gen 023/300 | Best Loss (neg eff): -0.5312 | elite best: -0.5312 | difficulty: 0.11 | 12.3s
✅ Gen 024/300 | Best Loss (neg eff): -0.4344 | elite best: -0.4344 | difficulty: 0.11 | 12.9s
✅ Gen 025/300 | Best Loss (neg eff): 0.2980 | elite best: 0.2980 | difficulty: 0.12 | 13.3s
✅ Gen 026/300 | Best Loss (neg eff): -0.9858 | elite best: -0.9858 | difficulty: 0.12 | 13.2s
✅ Gen 027/300 | Best Loss (neg eff): 0.9316 | elite best: 0.9316 | difficulty: 0.13 | 13.1s
✅ Gen 028/300 | Best Loss (neg eff): -0.4291 | elite best: -0.4291 | difficulty: 0.13 | 13.8s
