=== waiting for v4 (vision_flock + vision_gate w/ stronger crossing penalty) to finish ===
Sa 5. Sep 21:44:19 CEST 2026
=== v4 finished, starting vision_gate_directed (narrowed gate x-band + direction hint) ===
Sa 5. Sep 22:30:35 CEST 2026
🚀 stages=['vision_gate_directed'], sensor_mode=vision, popsize=30, maxiter=100, n_agents=10, n_repeats=3, workers=15
↳ Seeding 'vision_gate_directed' from existing genome 'hebbian_results_vision_v3/n10/hebbian_vision_flock_vision_best.npy' (instead of a fresh random one).

======================================================================
🧬 STAGE: vision_gate_directed  ({'sensor_mode': 'vision', 'n_agents': 10, 'n_repeats': 3, 'max_battery': None, 'min_battery': None, 'nx': None, 'ny': None, 'use_battery_sensor': True, 'wind_enabled': False, 'gradient_map_path': None, 'freq_choices': (), 'gate_enabled': False, 'n_gates': 1, 'finish_x_choices': (), 'gate_opening_width': 1.0, 'post_gate_distance': 1.5, 'max_steps': 400})
======================================================================
(15_w,30)-aCMA-ES (mu_w=8.6,w_1=20%) in dimension 960 (seed=43, Sat Sep  5 22:30:35 2026)
✅ Gen 001/100 | Best Loss (neg eff): -2.4579 | elite best: -2.4579 | 15.1s
✅ Gen 002/100 | Best Loss (neg eff): -2.4813 | elite best: -2.4813 | 15.1s
✅ Gen 003/100 | Best Loss (neg eff): -2.5874 | elite best: -2.5874 | 19.1s
✅ Gen 004/100 | Best Loss (neg eff): -2.4881 | elite best: -2.5874 | 13.3s
✅ Gen 005/100 | Best Loss (neg eff): -2.5662 | elite best: -2.5874 | 13.6s
✅ Gen 006/100 | Best Loss (neg eff): -2.4202 | elite best: -2.5874 | 22.1s
✅ Gen 007/100 | Best Loss (neg eff): -2.6467 | elite best: -2.6467 | 13.6s
✅ Gen 008/100 | Best Loss (neg eff): -2.7829 | elite best: -2.7829 | 15.3s
✅ Gen 009/100 | Best Loss (neg eff): -2.5969 | elite best: -2.7829 | 15.0s
✅ Gen 010/100 | Best Loss (neg eff): -2.5807 | elite best: -2.7829 | 16.2s
✅ Gen 011/100 | Best Loss (neg eff): -2.5988 | elite best: -2.7829 | 14.5s
✅ Gen 012/100 | Best Loss (neg eff): -2.6065 | elite best: -2.7829 | 15.9s
✅ Gen 013/100 | Best Loss (neg eff): -2.5890 | elite best: -2.7829 | 17.8s
✅ Gen 014/100 | Best Loss (neg eff): -2.6383 | elite best: -2.7829 | 13.7s
✅ Gen 015/100 | Best Loss (neg eff): -2.6723 | elite best: -2.7829 | 15.3s
✅ Gen 016/100 | Best Loss (neg eff): -2.6000 | elite best: -2.7829 | 16.5s
✅ Gen 017/100 | Best Loss (neg eff): -2.5818 | elite best: -2.7829 | 13.6s
✅ Gen 018/100 | Best Loss (neg eff): -2.6923 | elite best: -2.7829 | 16.6s
✅ Gen 019/100 | Best Loss (neg eff): -2.7207 | elite best: -2.7829 | 15.0s
✅ Gen 020/100 | Best Loss (neg eff): -2.6416 | elite best: -2.7829 | 14.4s
✅ Gen 021/100 | Best Loss (neg eff): -2.6978 | elite best: -2.7829 | 14.5s
✅ Gen 022/100 | Best Loss (neg eff): -2.7437 | elite best: -2.7829 | 18.4s
✅ Gen 023/100 | Best Loss (neg eff): -2.7148 | elite best: -2.7829 | 13.8s
✅ Gen 024/100 | Best Loss (neg eff): -2.7501 | elite best: -2.7829 | 15.2s
✅ Gen 025/100 | Best Loss (neg eff): -2.6505 | elite best: -2.7829 | 17.3s
✅ Gen 026/100 | Best Loss (neg eff): -2.7168 | elite best: -2.7829 | 14.4s
✅ Gen 027/100 | Best Loss (neg eff): -2.7141 | elite best: -2.7829 | 14.4s
