🚀 stages=['vision_flock', 'vision_gate'], sensor_mode=vision, popsize=30, maxiter=100, n_agents=10, n_repeats=3, workers=15

======================================================================
🧬 STAGE: vision_flock  ({'sensor_mode': 'vision', 'n_agents': 10, 'n_repeats': 3, 'max_battery': None, 'min_battery': None, 'nx': None, 'ny': None, 'use_battery_sensor': True, 'wind_enabled': False, 'gradient_map_path': None, 'freq_choices': (), 'gate_enabled': False, 'n_gates': 1, 'finish_x_choices': (), 'gate_opening_width': 1.0, 'post_gate_distance': 1.5, 'max_steps': 400})
======================================================================
(15_w,30)-aCMA-ES (mu_w=8.6,w_1=20%) in dimension 960 (seed=43, Sat Sep  5 17:30:41 2026)
✅ Gen 001/100 | Best Loss (neg eff): 1.6095 | elite best: 1.6095 | 8.5s
✅ Gen 002/100 | Best Loss (neg eff): 1.4929 | elite best: 1.4929 | 8.6s
✅ Gen 003/100 | Best Loss (neg eff): 1.4032 | elite best: 1.4032 | 8.7s
✅ Gen 004/100 | Best Loss (neg eff): 0.9432 | elite best: 0.9432 | 9.6s
✅ Gen 005/100 | Best Loss (neg eff): 1.0073 | elite best: 0.9432 | 14.3s
✅ Gen 006/100 | Best Loss (neg eff): 0.6413 | elite best: 0.6413 | 14.3s
✅ Gen 007/100 | Best Loss (neg eff): 0.6468 | elite best: 0.6413 | 17.5s
✅ Gen 008/100 | Best Loss (neg eff): 0.3715 | elite best: 0.3715 | 14.3s
✅ Gen 009/100 | Best Loss (neg eff): 0.2318 | elite best: 0.2318 | 12.5s
✅ Gen 010/100 | Best Loss (neg eff): -0.1655 | elite best: -0.1655 | 12.3s
✅ Gen 011/100 | Best Loss (neg eff): -0.3270 | elite best: -0.3270 | 14.6s
✅ Gen 012/100 | Best Loss (neg eff): -0.5726 | elite best: -0.5726 | 14.0s
✅ Gen 013/100 | Best Loss (neg eff): -0.6315 | elite best: -0.6315 | 12.5s
✅ Gen 014/100 | Best Loss (neg eff): -0.6290 | elite best: -0.6315 | 13.1s
✅ Gen 015/100 | Best Loss (neg eff): -0.8815 | elite best: -0.8815 | 18.5s
✅ Gen 016/100 | Best Loss (neg eff): -0.9502 | elite best: -0.9502 | 12.6s
✅ Gen 017/100 | Best Loss (neg eff): -0.8919 | elite best: -0.9502 | 12.4s
✅ Gen 018/100 | Best Loss (neg eff): -0.9576 | elite best: -0.9576 | 15.6s
✅ Gen 019/100 | Best Loss (neg eff): -1.2194 | elite best: -1.2194 | 14.3s
✅ Gen 020/100 | Best Loss (neg eff): -1.2223 | elite best: -1.2223 | 12.5s
✅ Gen 021/100 | Best Loss (neg eff): -1.4567 | elite best: -1.4567 | 13.3s
✅ Gen 022/100 | Best Loss (neg eff): -1.2626 | elite best: -1.4567 | 17.1s
✅ Gen 023/100 | Best Loss (neg eff): -1.3392 | elite best: -1.4567 | 12.5s
✅ Gen 024/100 | Best Loss (neg eff): -1.4715 | elite best: -1.4715 | 13.7s
✅ Gen 025/100 | Best Loss (neg eff): -1.4416 | elite best: -1.4715 | 15.7s
✅ Gen 026/100 | Best Loss (neg eff): -1.5941 | elite best: -1.5941 | 12.6s
✅ Gen 027/100 | Best Loss (neg eff): -1.6359 | elite best: -1.6359 | 13.0s
✅ Gen 028/100 | Best Loss (neg eff): -1.6994 | elite best: -1.6994 | 17.3s
✅ Gen 029/100 | Best Loss (neg eff): -1.7247 | elite best: -1.7247 | 13.0s
✅ Gen 030/100 | Best Loss (neg eff): -1.7622 | elite best: -1.7622 | 14.5s
✅ Gen 031/100 | Best Loss (neg eff): -1.8197 | elite best: -1.8197 | 15.4s
✅ Gen 032/100 | Best Loss (neg eff): -1.7856 | elite best: -1.8197 | 14.5s
✅ Gen 033/100 | Best Loss (neg eff): -1.7869 | elite best: -1.8197 | 12.8s
✅ Gen 034/100 | Best Loss (neg eff): -1.7476 | elite best: -1.8197 | 19.5s
✅ Gen 035/100 | Best Loss (neg eff): -1.7932 | elite best: -1.8197 | 13.8s
✅ Gen 036/100 | Best Loss (neg eff): -1.8702 | elite best: -1.8702 | 13.1s
✅ Gen 037/100 | Best Loss (neg eff): -1.8761 | elite best: -1.8761 | 19.1s
✅ Gen 038/100 | Best Loss (neg eff): -1.9143 | elite best: -1.9143 | 13.0s
✅ Gen 039/100 | Best Loss (neg eff): -1.9264 | elite best: -1.9264 | 13.3s
✅ Gen 040/100 | Best Loss (neg eff): -1.8987 | elite best: -1.9264 | 19.5s
✅ Gen 041/100 | Best Loss (neg eff): -1.8727 | elite best: -1.9264 | 13.3s
✅ Gen 042/100 | Best Loss (neg eff): -1.9521 | elite best: -1.9521 | 12.9s
✅ Gen 043/100 | Best Loss (neg eff): -2.0486 | elite best: -2.0486 | 18.9s
✅ Gen 044/100 | Best Loss (neg eff): -2.0735 | elite best: -2.0735 | 12.8s
✅ Gen 045/100 | Best Loss (neg eff): -2.0369 | elite best: -2.0735 | 17.5s
✅ Gen 046/100 | Best Loss (neg eff): -2.0925 | elite best: -2.0925 | 13.2s
✅ Gen 047/100 | Best Loss (neg eff): -2.1205 | elite best: -2.1205 | 13.8s
✅ Gen 048/100 | Best Loss (neg eff): -2.1938 | elite best: -2.1938 | 19.0s
✅ Gen 049/100 | Best Loss (neg eff): -2.0861 | elite best: -2.1938 | 13.3s
✅ Gen 050/100 | Best Loss (neg eff): -2.0803 | elite best: -2.1938 | 13.3s
✅ Gen 051/100 | Best Loss (neg eff): -2.1949 | elite best: -2.1949 | 19.0s
✅ Gen 052/100 | Best Loss (neg eff): -2.2146 | elite best: -2.2146 | 13.9s
✅ Gen 053/100 | Best Loss (neg eff): -2.1789 | elite best: -2.2146 | 13.2s
✅ Gen 054/100 | Best Loss (neg eff): -2.2040 | elite best: -2.2146 | 17.4s
✅ Gen 055/100 | Best Loss (neg eff): -2.0943 | elite best: -2.2146 | 17.1s
✅ Gen 056/100 | Best Loss (neg eff): -2.1154 | elite best: -2.2146 | 12.9s
✅ Gen 057/100 | Best Loss (neg eff): -2.1695 | elite best: -2.2146 | 13.6s
✅ Gen 058/100 | Best Loss (neg eff): -2.1818 | elite best: -2.2146 | 21.0s
✅ Gen 059/100 | Best Loss (neg eff): -2.1626 | elite best: -2.2146 | 13.7s
✅ Gen 060/100 | Best Loss (neg eff): -2.1767 | elite best: -2.2146 | 12.8s
✅ Gen 061/100 | Best Loss (neg eff): -2.2223 | elite best: -2.2223 | 18.8s
✅ Gen 062/100 | Best Loss (neg eff): -2.2045 | elite best: -2.2223 | 14.7s
✅ Gen 063/100 | Best Loss (neg eff): -2.1632 | elite best: -2.2223 | 13.3s
✅ Gen 064/100 | Best Loss (neg eff): -2.2830 | elite best: -2.2830 | 19.1s
✅ Gen 065/100 | Best Loss (neg eff): -2.2671 | elite best: -2.2830 | 14.9s
✅ Gen 066/100 | Best Loss (neg eff): -2.2355 | elite best: -2.2830 | 15.1s
✅ Gen 067/100 | Best Loss (neg eff): -2.1847 | elite best: -2.2830 | 17.2s
✅ Gen 068/100 | Best Loss (neg eff): -2.1924 | elite best: -2.2830 | 14.8s
✅ Gen 069/100 | Best Loss (neg eff): -2.2687 | elite best: -2.2830 | 17.1s
✅ Gen 070/100 | Best Loss (neg eff): -2.2750 | elite best: -2.2830 | 16.9s
✅ Gen 071/100 | Best Loss (neg eff): -2.2704 | elite best: -2.2830 | 14.6s
✅ Gen 072/100 | Best Loss (neg eff): -2.3013 | elite best: -2.3013 | 19.2s
✅ Gen 073/100 | Best Loss (neg eff): -2.2679 | elite best: -2.3013 | 15.3s
✅ Gen 074/100 | Best Loss (neg eff): -2.2961 | elite best: -2.3013 | 13.7s
✅ Gen 075/100 | Best Loss (neg eff): -2.3392 | elite best: -2.3392 | 19.0s
✅ Gen 076/100 | Best Loss (neg eff): -2.2771 | elite best: -2.3392 | 13.7s
✅ Gen 077/100 | Best Loss (neg eff): -2.3230 | elite best: -2.3392 | 16.9s
✅ Gen 078/100 | Best Loss (neg eff): -2.3520 | elite best: -2.3520 | 16.0s
✅ Gen 079/100 | Best Loss (neg eff): -2.2563 | elite best: -2.3520 | 15.2s
✅ Gen 080/100 | Best Loss (neg eff): -2.2897 | elite best: -2.3520 | 16.0s
✅ Gen 081/100 | Best Loss (neg eff): -2.2536 | elite best: -2.3520 | 15.7s
✅ Gen 082/100 | Best Loss (neg eff): -2.2779 | elite best: -2.3520 | 14.2s
✅ Gen 083/100 | Best Loss (neg eff): -2.3540 | elite best: -2.3540 | 21.3s
✅ Gen 084/100 | Best Loss (neg eff): -2.3519 | elite best: -2.3540 | 14.2s
✅ Gen 085/100 | Best Loss (neg eff): -2.3190 | elite best: -2.3540 | 14.4s
✅ Gen 086/100 | Best Loss (neg eff): -2.3447 | elite best: -2.3540 | 19.6s
✅ Gen 087/100 | Best Loss (neg eff): -2.3476 | elite best: -2.3540 | 15.0s
✅ Gen 088/100 | Best Loss (neg eff): -2.3956 | elite best: -2.3956 | 13.7s
✅ Gen 089/100 | Best Loss (neg eff): -2.3099 | elite best: -2.3956 | 17.6s
✅ Gen 090/100 | Best Loss (neg eff): -2.3606 | elite best: -2.3956 | 17.2s
✅ Gen 091/100 | Best Loss (neg eff): -2.3801 | elite best: -2.3956 | 14.1s
✅ Gen 092/100 | Best Loss (neg eff): -2.3768 | elite best: -2.3956 | 17.4s
✅ Gen 093/100 | Best Loss (neg eff): -2.4428 | elite best: -2.4428 | 15.1s
✅ Gen 094/100 | Best Loss (neg eff): -2.4041 | elite best: -2.4428 | 13.7s
✅ Gen 095/100 | Best Loss (neg eff): -2.4127 | elite best: -2.4428 | 19.1s
✅ Gen 096/100 | Best Loss (neg eff): -2.5108 | elite best: -2.5108 | 14.2s
✅ Gen 097/100 | Best Loss (neg eff): -2.4230 | elite best: -2.5108 | 21.0s
✅ Gen 098/100 | Best Loss (neg eff): -2.4344 | elite best: -2.5108 | 14.2s
✅ Gen 099/100 | Best Loss (neg eff): -2.4376 | elite best: -2.5108 | 14.1s
✅ Gen 100/100 | Best Loss (neg eff): -2.4845 | elite best: -2.5108 | 19.2s
   (stage wall-clock: 1506.7s)
💾 Stage 'vision_flock' complete. Best efficiency: 2.5108. Saved hebbian_vision_flock_vision_best.npy

======================================================================
🧬 STAGE: vision_gate  ({'sensor_mode': 'vision', 'n_agents': 10, 'n_repeats': 3, 'max_battery': None, 'min_battery': None, 'nx': None, 'ny': None, 'use_battery_sensor': True, 'wind_enabled': False, 'gradient_map_path': None, 'freq_choices': (), 'gate_enabled': False, 'n_gates': 1, 'finish_x_choices': (), 'gate_opening_width': 1.0, 'post_gate_distance': 1.5, 'max_steps': 400})
======================================================================
(15_w,30)-aCMA-ES (mu_w=8.6,w_1=20%) in dimension 960 (seed=44, Sat Sep  5 17:55:48 2026)
✅ Gen 001/100 | Best Loss (neg eff): -2.1180 | elite best: -2.1180 | 16.4s
✅ Gen 002/100 | Best Loss (neg eff): -1.3135 | elite best: -2.1180 | 13.7s
✅ Gen 003/100 | Best Loss (neg eff): -2.1675 | elite best: -2.1675 | 16.6s
✅ Gen 004/100 | Best Loss (neg eff): -2.1279 | elite best: -2.1675 | 15.5s
✅ Gen 005/100 | Best Loss (neg eff): -1.4386 | elite best: -2.1675 | 15.0s
✅ Gen 006/100 | Best Loss (neg eff): -2.2299 | elite best: -2.2299 | 18.8s
✅ Gen 007/100 | Best Loss (neg eff): -1.2797 | elite best: -2.2299 | 13.5s
✅ Gen 008/100 | Best Loss (neg eff): -2.1775 | elite best: -2.2299 | 16.4s
✅ Gen 009/100 | Best Loss (neg eff): -10.2633 | elite best: -10.2633 | 17.2s
